cr_gdp,dy,cr,fd0,fd1,fd2
139.8,0.66107,0,0.4235,0.84806,0.31877
142.3,0.39975,0,0.42324,0.85731,0.32143
145.1,0.89187,0,0.42298,0.86655,0.3241
146.1,-0.076068,0,0.42272,0.87579,0.32676
148.3,-0.053868,0,0.41717,0.86088,0.3148
149.1,-0.2005,0,0.41162,0.84596,0.30285
151.3,-0.050482,0,0.40607,0.83105,0.29089
150.2,0.90946,0,0.40052,0.81613,0.27893
149.8,0.87935,0,0.40877,0.82258,0.28734
149,0.53035,0,0.41703,0.82903,0.29576
148.2,0.31732,0,0.42528,0.83547,0.30417
147.2,-0.41145,0,0.43353,0.84192,0.31258
150.1,0.10446,0,0.44375,0.84187,0.32376
152.2,0.39045,0,0.45396,0.84183,0.33494
154.9,0.74914,0,0.46417,0.84178,0.34612
155.6,1.5297,0,0.47438,0.84173,0.3573
155.8,0.98041,0,0.47394,0.84605,0.34816
156.4,0.87445,0,0.47349,0.85036,0.33902
157.5,0.32732,0,0.47305,0.85468,0.32988
156.8,0.37744,0,0.4726,0.85899,0.32074
156.9,0.50285,0,0.47195,0.86028,0.34293
156.4,0.39033,0,0.47129,0.86157,0.36512
156.1,0.80502,0,0.47064,0.86286,0.38731
156.3,0.60938,0,0.46998,0.86415,0.4095
157.5,0.33141,0,0.47506,0.86366,0.3917
158.3,0.84374,0,0.48015,0.86317,0.37391
158.3,1.0794,0,0.48523,0.86269,0.35612
161.3,1.2601,0,0.49031,0.8622,0.33833
164,0.39777,0,0.50233,0.85153,0.31799
167.2,0.77459,0,0.51436,0.84087,0.29765
169.5,0.51241,0,0.52638,0.8302,0.27731
174,0.55802,1,0.5384,0.81953,0.25697
178.7,0.16359,1,0.53659,0.80345,0.27026
183.3,-0.49964,1,0.53478,0.78738,0.28354
190.6,-2.1083,1,0.53298,0.7713,0.29682
196.4,-1.172,0,0.53117,0.75522,0.3101
199.8,-0.10316,0,0.53514,0.77202,0.27924
202.4,1.1114,0,0.53911,0.78882,0.24837
205.9,0.83981,0,0.54308,0.80562,0.21751
204.5,0.4529,0,0.54706,0.82242,0.18665
203.2,1.0136,0,0.54646,0.81967,0.20237
198,0.45435,0,0.54587,0.81693,0.2181
194.5,0.43133,0,0.54528,0.81418,0.23382
195.6,-0.03123,0,0.54469,0.81143,0.24955
199.3,0.20797,0,0.54099,0.80108,0.25466
200.9,0.285,0,0.53729,0.79073,0.25977
204.1,0.29121,0,0.53359,0.78037,0.26488
205.5,0.21435,0,0.52989,0.77002,0.27
208.2,-0.0010006,0,0.52964,0.77723,0.29952
207.9,0.24384,0,0.5294,0.78443,0.32905
209.3,-0.045925,0,0.52916,0.79164,0.35858
215.1,-0.27599,0,0.52891,0.79884,0.38811
215.2,0.58209,0,0.52731,0.8048,0.36931
212.1,0.31013,0,0.52571,0.81077,0.35052
209.6,0.2181,0,0.52412,0.81673,0.33173
207.1,0.42985,0,0.52252,0.8227,0.31293
204.9,0.26391,0,0.52018,0.82334,0.34232
207.2,0.68703,0,0.51785,0.82397,0.37172
208.3,0.51924,0,0.51552,0.82461,0.40111
218.3,0.51559,0,0.51319,0.82525,0.4305
209.1,0.6667,0,0.5114,0.82591,0.39271
215.6,0.18899,0,0.5096,0.82657,0.35492
211.8,0.41605,0,0.50781,0.82723,0.31712
227.1,0.17832,0,0.50602,0.82788,0.27933
231.7,0.66849,0,0.50602,0.82788,0.27933
230.8,0.23726,0,0.50602,0.82788,0.27933
232.6,0.51137,0,0.50602,0.82788,0.27933
117.9,0.69775,0,0.62558,0.81653,0.1052
119.1,-0.031795,0,0.61438,0.80922,0.12868
119.3,-0.11488,0,0.60318,0.80191,0.15216
120.3,1.3707,0,0.59198,0.7946,0.17564
121,2.182,0,0.58077,0.78729,0.19912
122.9,1.1229,0,0.59336,0.7926,0.20143
124.1,-0.90852,0,0.60595,0.79792,0.20375
122.9,-0.45553,0,0.61853,0.80323,0.20606
123,-1.1846,0,0.63112,0.80855,0.20838
122.6,-1.164,0,0.61689,0.79723,0.18802
121.6,-0.88167,0,0.60266,0.7859,0.16767
119.5,-0.92534,0,0.58843,0.77458,0.14732
118,1.6586,1,0.5742,0.76326,0.12696
116.1,1.9453,1,0.5933,0.77186,0.13919
114.1,1.1146,1,0.61241,0.78046,0.15141
111.9,1.2506,1,0.63152,0.78906,0.16364
111.3,1.7055,1,0.65062,0.79767,0.17587
110.5,1.9384,1,0.65635,0.80173,0.191
109.6,0.42007,1,0.66207,0.80579,0.20614
108.7,1.5723,1,0.6678,0.80986,0.22128
109.1,1.5089,1,0.67352,0.81392,0.23641
108.8,0.31717,1,0.67353,0.80609,0.25017
110.2,1.2605,1,0.67354,0.79827,0.26392
110.5,1.5212,1,0.67354,0.79044,0.27768
111,-0.029452,0,0.67355,0.78261,0.29143
112.5,0.56696,0,0.67319,0.77782,0.28402
113.4,0.12644,0,0.67282,0.77304,0.27661
114.5,-0.72603,0,0.67246,0.76825,0.26919
114.9,2.2809,0,0.67209,0.76346,0.26178
116.9,1.2835,0,0.67053,0.75919,0.26681
117.3,1.5105,0,0.66896,0.75491,0.27184
118.1,1.2845,0,0.66739,0.75064,0.27686
119.5,1.4468,0,0.66582,0.74636,0.28189
120.9,0.88156,0,0.6666,0.74561,0.27654
122.9,0.0089106,0,0.66737,0.74485,0.27119
124.3,0.6965,0,0.66814,0.7441,0.26583
125.6,1.1327,0,0.66891,0.74334,0.26048
127.4,0.38283,0,0.66954,0.74385,0.23997
129.4,0.3566,0,0.67017,0.74435,0.21947
131.9,-0.21285,0,0.6708,0.74485,0.19896
134.1,0.93641,0,0.67142,0.74536,0.17846
135.6,-0.41415,0,0.67754,0.75121,0.18257
136.9,-0.7118,0,0.68365,0.75706,0.18668
137.7,-0.89371,0,0.68976,0.76291,0.19079
139.7,-1.437,0,0.69587,0.76877,0.1949
142.4,0.46377,0,0.69838,0.76274,0.19472
142,0.13457,0,0.70088,0.75672,0.19454
143.2,0.18483,0,0.70338,0.75069,0.19436
143.6,0.073332,0,0.70589,0.74467,0.19418
145,0.12111,0,0.70587,0.74396,0.23128
146.3,0.53619,0,0.70585,0.74326,0.26838
147.1,0.56665,0,0.70583,0.74255,0.30548
